run, lumi, event 
1,235214,111765740
1,259574,123340650
1,292336,138908448
1,263694,125298495
1,131905,62676402
1,135124,64206447
1,152666,72541405
1,305532,145178592
1,301987,143493995
1,617488,293409690
1,635999,302205264
1,649197,308476813
1,605403,287667295
1,632341,300466902
1,646722,307300623
1,137170,65178611
1,153903,73129515
1,252248,119859584
1,613781,291648129
1,614102,291800704
1,48427,23010853
1,134149,63742753
1,245083,116455157
1,252518,119987840
1,253423,120417701
1,258729,122939121
1,595070,282757018
1,294863,140109168
1,136839,65021413
1,145691,69227455
1,138417,65770807
1,139621,66343048
1,152608,72514076
1,234879,111606424
1,149847,71202119
1,245255,116536848
1,290656,138110144
1,293358,139393777
1,302284,143635006
1,645078,306519437
1,598856,284556393
1,248289,117978424
1,604763,287363011
1,260138,123608706
1,265239,126032575
1,615515,292472329
1,603085,286565659
1,595477,282950367
1,603028,286538804
1,628803,298786015
1,663184,315122816
1,45046,21404086
1,103909,49374069
1,146966,69833438
1,150487,71505970
1,235669,111982095
1,236926,112579352
1,37640,17885354
1,112990,53689010
1,129641,61600851
1,136959,65078179
1,139387,66232050
1,142763,67836075
1,142873,67888484
1,142878,67890755
1,144886,68844940
1,144641,68728534
1,257148,122188108
1,647553,307695500
1,656870,312122663
1,286576,136171323
1,288953,137300608
1,660317,313760582
1,601198,285669201
1,297613,141415617
1,630682,299679041
1,612547,291061917
1,105441,50102049
1,595051,282748444
1,290110,137850635
1,152905,72655090
1,273435,129927086
1,661372,314261828
1,662308,314706719
1,618656,293964493
1,108391,51503705
1,659902,313563215
1,106407,50560754
1,115839,55042771
1,111769,53108917
1,135059,64175510
1,602990,286520345
1,297075,141159757
1,629062,298909093
1,262920,124930668
1,263307,125114609
1,276597,131429560
1,281048,133544675
1,281530,133773470
1,303260,144098671
1,253465,120437922
1,602326,286205288
1,625096,297024804
1,41589,19761664
1,41932,19924860
1,102439,48675507
1,602265,286175990
1,604928,287441613
1,607369,288601419
1,606106,288001369
1,140165,66601551
1,141286,67134567
1,234865,111599851
1,236300,112281462
1,236304,112283660
1,240493,114274131
1,267400,127059743
1,267593,127151088
1,612415,290998977
1,612415,290999224
1,594682,282573006
1,595210,282823705
1,611461,290545738
1,627979,298394489
1,119431,56749466
1,257982,122584320
1,650109,308910263
1,142893,67897814
1,239782,113936578
1,256371,121819052
1,258797,122971806
1,259120,123125069
1,258794,122970181
1,152593,72506946
1,304566,144719582
1,305360,145096775
1,607159,288501553
1,627080,297967274
1,647240,307546730
1,51824,24624843
1,154722,73518616
1,239738,113915253
1,239948,114014884
1,242925,115429668
1,243657,115777350
1,276420,131345511
1,119717,56885762
1,121672,57814503
1,153683,73024826
1,284214,135049003
1,142107,67524360
1,235863,112073979
1,137883,65517176
1,264601,125729300
1,660187,313698526
1,664457,315727696
1,275636,130972689
1,661414,314281976
1,289275,137453476
1,665635,316287530
1,614580,292027844
1,616177,292786641
1,656353,311876658
1,628317,298554979
1,662548,314820398
1,36641,17410407
1,111775,53111626
1,111776,53112235
1,143396,68136826
1,143397,68137128
1,147586,70127917
1,115827,55036754
1,141958,67453869
1,250551,119053510
1,291232,138383795
1,249086,118357305
1,628125,298463962
1,646241,307072208
1,659160,313210664
1,111988,53212884
1,258128,122653758
1,137810,65482342
1,300242,142664830
1,263010,124973383
1,237497,112850441
1,296126,140709089
1,296917,141084592
1,137670,65416149
1,645321,306635093
1,140985,66991428
1,643553,305794797
1,104276,49548395
1,133555,63460533
1,614266,291878448
1,634216,301357974
1,625705,297314175
1,620921,295040742
1,621259,295201354
1,630665,299670883
1,649498,308619786
1,660995,314082641
1,621172,295160366
1,622984,296021209
1,636784,302578576
1,648746,308262354
1,239497,113801014
1,239048,113587290
1,296537,140904394
1,253268,120344400
1,258890,123015604
1,36509,17347897
1,644759,306367899
1,145801,69279489
1,626566,297723161
1,635032,301746045
1,246224,116997388
1,296900,141076984
1,255909,121599308
1,653945,310732878
1,148863,70734518
1,141932,67441080
1,128111,60874096
1,282258,134119569
1,629303,299023546
1,648873,308322926
1,120431,57224708
1,148445,70536029
1,664084,315550729
1,664705,315845630
1,46256,21979179
1,51404,24425398
1,44729,21253543
1,39867,18943430
1,107208,50941537
1,118167,56149049
1,119878,56961823
1,122880,58388282
1,130168,61851399
1,298373,141776881
1,48739,23158799
1,44539,21163340
1,104604,49704104
1,125897,59822220
1,132781,63093046
1,116180,55204820
1,127451,60560256
1,141187,67086942
1,301695,143355506
1,128218,60924914
1,36633,17406427
1,297340,141286038
1,609748,289731851
1,111962,53200691
1,630753,299712931
1,637117,302736714
1,602419,286249342
1,628102,298453281
1,278625,132392968
1,611979,290791739
1,653547,310543846
1,47336,22492152
1,123112,58498656
1,286233,136008508
1,285463,135642287
1,292191,138839535
1,292191,138839541
1,297560,141390167
1,304919,144887352
1,614554,292015735
1,125745,59749665
1,253291,120355340
1,254121,120749532
1,242685,115315640
1,254467,120914220
1,269636,128121802
1,273151,129791872
1,276675,131466464
1,277235,131732905
1,277457,131838403
1,279671,132890117
1,279940,133018042
1,292526,138998661
1,292435,138955190
1,301358,143195066
1,145495,69134356
1,125633,59696525
1,131961,62703090
1,626981,297920186
1,626000,297454097
1,607886,288846853
1,624560,296769711
1,638594,303438280
1,645956,306936541
1,627834,298325677
1,630315,299504352
1,634978,301720434
1,116626,55416604
1,52226,24815808
1,52270,24837111
1,151398,71939146
1,124676,59241609
1,44601,21192806
1,114742,54521588
1,135823,64538088
1,119740,56896378
1,145297,69039912
1,244588,116220225
1,290603,138084807
1,293085,139264320
1,129566,61565085
1,242357,115160026
1,248867,118253195
1,248978,118306066
1,642269,305184822
1,259663,123383002
1,264221,125549001
1,595843,283124381
1,604533,287253772
1,637317,302831567
1,658455,312875702
1,247569,117636497
1,273572,129991923
1,111075,52778778
1,270894,128719766
1,665956,316439807
1,594370,282424748
1,304801,144830901
1,635621,302026029
1,637633,302981622
1,663119,315091796
1,661169,314165483
1,663099,315082425
1,132502,62960634
1,109695,52123179
1,636045,302227221
1,629114,298933864
1,147016,69857005
1,236713,112477844
1,104998,49891470
1,278577,132370217
1,107564,51110426
1,45770,21748254
1,103365,49115698
1,136700,64955233
1,149859,71207636
1,234804,111570818
1,256939,122088819
1,257731,122465017
1,257101,122165599
1,635024,301742112
1,635492,301964281
1,647064,307463137
1,658875,313075058
1,651540,309589883
1,652412,310004397
1,279775,132939440
1,281062,133551458
1,288045,136869386
1,290135,137862508
1,303770,144341152
1,303829,144369291
1,243860,115873897
1,643781,305903350
1,650932,309301136
1,663764,315398509
1,107276,50973597
1,107324,50996751
1,106815,50754720
1,107511,51085500
1,108067,51349740
1,108229,51426412
1,108528,51568888
1,633046,300802172
1,651095,309378872
1,605759,287836603
1,271653,129080241
1,622134,295617123
1,248505,118080960
1,269977,128283708
1,284030,134961231
1,658362,312831638
1,132673,63041691
1,613718,291617979
1,127406,60538679
1,125425,59597725
1,245666,116732304
1,264898,125870633
1,239941,114011646
1,253134,120280755
1,635180,301815998
1,650334,309016877
1,651038,309351593
1,109786,52166381
1,650545,309116987
1,660531,313862404
1,661629,314383703
1,103288,49079109
1,285473,135647421
1,112873,53633409
1,258353,122760552
1,43291,20570253
1,41505,19721664
1,41552,19743737
1,103908,49373437
1,278792,132472260
1,294102,139747270
1,302564,143767906
1,302794,143877596
1,303121,144032652
1,303677,144296983
1,304033,144466348
1,305477,145152468
1,599278,284756966
1,600850,285504040
1,110186,52356739
1,113735,54042959
1,605654,287786602
1,259520,123315315
1,261100,124066171
1,267670,127187824
1,263138,125034334
1,268390,127530035
1,277101,131669024
1,42242,20071884
1,48314,22957022
1,289754,137681157
1,259557,123332554
1,110857,52675335
1,120288,57156746
1,121394,57682267
1,121520,57742072
1,122524,58219285
1,138841,65972417
1,143899,68375816
1,136915,65057074
1,279475,132796826
1,263569,125238876
1,146151,69446138
1,242202,115086258
1,251735,119616301
1,41083,19521012
1,50422,23958682
1,283024,134483546
1,248569,118111583
1,268135,127408551
1,601039,285593314
1,154677,73497389
1,123197,58538990
1,131647,62554093
1,290169,137878646
1,274869,130608244
1,249559,118581932
1,263266,125095130
1,305775,145293912
1,616861,293111504
1,153161,72777225
1,50266,23884416
1,50900,24185990
1,48305,22952842
1,139750,66404218
1,45397,21571011
1,124465,59141429
1,600508,285341314
1,660279,313742615
1,119799,56924150
1,102818,48855607
1,107239,50956204
1,142502,67712209
1,135641,64451796
1,136608,64911347
1,121040,57513826
1,138203,65669300
1,145575,69172036
1,45812,21768250
1,108142,51385612
1,121371,57671396
1,121403,57686680
1,43503,20671080
1,256537,121897561
1,247209,117465518
1,647019,307441662
1,234236,111300779
1,236889,112561766
1,239987,114033562
1,250061,118820654
1,252216,119844624
1,595701,283057154
1,595702,283057693
1,633782,301151861
1,648008,307911836
1,595683,283048529
1,254139,120758282
1,265394,126106004
1,253410,120411888
1,258187,122681492
1,50057,23785192
1,110729,52614677
1,120712,57358123
1,155198,73744720
1,261874,124433760
1,277082,131660064
1,642272,305186177
1,259799,123447604
1,53189,25273640
1,150205,71371960
1,52696,25039381
1,125974,59858831
1,42014,19963439
1,103687,49268457
1,46219,21961296
1,129648,61604281
1,122366,58143918
1,648342,308070492
1,106232,50477921
